"filename", "language", "JSON", "Markdown", "JavaScript", "XML", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\common\bom\extras\ViewBOMPage.js", "JavaScript", 0, 0, 54, 0, 0, 0, 1, 7, 62
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\common\bom\extras\ViewBOMResultsPage.js", "JavaScript", 0, 0, 44, 0, 0, 0, 4, 6, 54
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\common\bom\forms\ViewBOMForm.js", "JavaScript", 0, 0, 192, 0, 0, 0, 3, 19, 214
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\common\bom\forms\ViewExplodeBOMForm.js", "JavaScript", 0, 0, 150, 0, 0, 0, 2, 18, 170
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\common\bom\menus\BOMMenu.js", "JavaScript", 0, 0, 48, 0, 0, 0, 2, 7, 57
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\common\businesspartner\BusinessPartnersPage.js", "JavaScript", 0, 0, 13, 0, 0, 0, 2, 4, 19
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\common\businesspartner\CreatePartnerPage.js", "JavaScript", 0, 0, 27, 0, 0, 0, 3, 7, 37
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\common\businesspartner\PartnerSearchPage.js", "JavaScript", 0, 0, 26, 0, 0, 0, 3, 7, 36
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\common\businesspartner\forms\CreatePartnerForm.js", "JavaScript", 0, 0, 445, 0, 0, 0, 2, 25, 472
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\common\businesspartner\forms\PartnerResults.js", "JavaScript", 0, 0, 119, 0, 0, 0, 2, 16, 137
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\common\businesspartner\forms\PartnerSearchForm.js", "JavaScript", 0, 0, 78, 0, 0, 0, 1, 12, 91
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\common\businesspartner\menus\BusinessPartnerMenu.js", "JavaScript", 0, 0, 48, 0, 0, 0, 2, 6, 56
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\common\company\CompaniesPage.js", "JavaScript", 0, 0, 15, 0, 0, 0, 1, 3, 19
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\common\company\CreateCompaniesPage.js", "JavaScript", 0, 0, 27, 0, 0, 0, 3, 7, 37
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\common\company\ViewAllCompaniesPage.js", "JavaScript", 0, 0, 18, 0, 0, 0, 1, 7, 26
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\common\company\forms\CreateCompanyForm.js", "JavaScript", 0, 0, 315, 0, 0, 0, 1, 25, 341
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\common\company\forms\ViewAllCompaniesForm.js", "JavaScript", 0, 0, 80, 0, 0, 0, 4, 14, 98
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\common\company\menus\CompaniesMenu.js", "JavaScript", 0, 0, 45, 0, 0, 0, 3, 6, 54
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\common\currencies\CurrenciesPage.js", "JavaScript", 0, 0, 17, 0, 0, 0, 2, 4, 23
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\common\currencies\ViewAllCurrenciesPage.js", "JavaScript", 0, 0, 13, 0, 0, 0, 5, 6, 24
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\common\currencies\forms\ViewAllCurrenciesForm.js", "JavaScript", 0, 0, 84, 0, 0, 0, 1, 10, 95
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\common\currencies\menus\ViewCurrenciesMenu.js", "JavaScript", 0, 0, 46, 0, 0, 0, 4, 8, 58
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\common\department\CreateDepartmentsPage.js", "JavaScript", 0, 0, 27, 0, 0, 0, 3, 7, 37
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\common\department\DepartmentsPage.js", "JavaScript", 0, 0, 15, 0, 0, 0, 1, 3, 19
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\common\department\ViewAllDepartmentsPage.js", "JavaScript", 0, 0, 18, 0, 0, 0, 1, 7, 26
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\common\department\forms\CreateDepartmentForm.js", "JavaScript", 0, 0, 201, 0, 0, 0, 1, 19, 221
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\common\department\forms\ViewAllDepartmentsForm.js", "JavaScript", 0, 0, 78, 0, 0, 0, 0, 14, 92
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\common\department\menus\DepartmentsMenu.js", "JavaScript", 0, 0, 45, 0, 0, 0, 3, 6, 54
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\common\exchangerates\ExchangeRatesPage.js", "JavaScript", 0, 0, 17, 0, 0, 0, 1, 4, 22
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\common\exchangerates\ViewAllExchangeRatesPage.js", "JavaScript", 0, 0, 23, 0, 0, 0, 1, 5, 29
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\common\exchangerates\forms\ViewAllExchangeRatesForm.js", "JavaScript", 0, 0, 78, 0, 0, 0, 2, 12, 92
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\common\exchangerates\menus\ViewExchangeRatesMenu.js", "JavaScript", 0, 0, 47, 0, 0, 0, 3, 7, 57
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\common\groupcompany\CreateGroupCompaniesPage.js", "JavaScript", 0, 0, 27, 0, 0, 0, 3, 7, 37
"c:\Users\scy9211\OneDrive - Telia Company\Work Files\share\Work related\Copilot\Projects\Package ERP1\frontend-rjs\src\modules\common\groupcompany\GroupCompaniesPage.js", "JavaScript", 0, 0, 15, 0, 0, 0, 1, 3, 19
